"Point_count_ID","Site","count","Time","Date"
"19_09_06_04","Matrix",13,"09:00:00 AM","9/6/19"
"19_09_06_05","Matrix",11,"10:00:00 AM","9/6/19"
"19_09_06_06","Matrix",8,"11:00:00 AM","9/6/19"
"19_09_07_01","LF",17,"06:00:00 AM","9/7/19"
"19_09_07_02","LF",21,"07:00:00 AM","9/7/19"
"19_09_07_03","LF",12,"08:00:00 AM","9/7/19"
"19_09_07_04","LF",12,"09:00:00 AM","9/7/19"
"19_09_07_05","LF",9,"10:00:00 AM","9/7/19"
"19_09_07_06","LF",7,"11:00:00 AM","9/7/19"
"19_09_10_01","LF",10,"06:00:00 PM","9/10/19"
"19_09_10_02","LF",3,"07:00:00 PM","9/10/19"
"19_09_10_03","LF",3,"08:00:00 PM","9/10/19"
"19_09_10_04","LF",2,"09:00:00 PM","9/10/19"
"19_09_10_05","LF",1,"10:00:00 PM","9/10/19"
"19_09_10_06","LF",1,"11:00:00 PM","9/10/19"
"19_09_11_01","LF",8,"06:01:00 PM","9/11/19"
"19_09_18_01","LF",6,"06:00:00 PM","9/18/19"
"19_09_18_03","LF",1,"08:00:00 PM","9/18/19"
"19_09_18_05","LF",2,"10:00:00 PM","9/18/19"
"19_11_06_01","Matrix",14,"06:00:00 AM","11/6/19"
"19_11_06_02","Matrix",16,"07:00:00 AM","11/6/19"
"19_11_06_03","Matrix",19,"08:00:00 AM","11/6/19"
"19_11_06_04","Matrix",9,"09:00:00 AM","11/6/19"
"19_11_06_05","Matrix",9,"10:00:00 AM","11/6/19"
"19_11_06_06","Matrix",5,"11:00:00 AM","11/6/19"
"19_11_18_01_JA","LF",26,"06:06:00 AM","11/18/19"
"19_11_18_02_JA","LF",16,"07:02:00 AM","11/18/19"
"19_11_18_03_JA","LF",15,"08:01:00 AM","11/18/19"
"19_11_18_04_JA","LF",8,"09:00:00 AM","11/18/19"
"19_11_18_05_JA","LF",8,"10:00:00 AM","11/18/19"
"19_11_18_06_JA","LF",9,"11:00:00 AM","11/18/19"
"19_11_19_01","LF",20,"06:03:00 AM","11/19/19"
"19_11_19_02","LF",18,"07:00:00 AM","11/19/19"
"19_11_19_03","LF",15,"08:00:00 AM","11/19/19"
"19_11_19_04","LF",3,"09:00:00 AM","11/19/19"
"19_11_19_05","LF",7,"10:00:00 AM","11/19/19"
"19_11_19_06","LF",9,"11:00:00 AM","11/19/19"
"19_11_20_01","LF",16,"06:00:00 AM","11/20/19"
"19_11_20_02","LF",13,"07:00:00 AM","11/20/19"
"19_11_20_03","LF",7,"08:00:00 AM","11/20/19"
"19_11_20_04","LF",8,"09:00:00 AM","11/20/19"
"19_11_20_05","LF",6,"10:00:00 AM","11/20/19"
"19_11_20_06","LF",3,"11:00:00 AM","11/20/19"
"19_11_22_01","OG",13,"06:00:00 AM","11/22/19"
"19_11_22_02","OG",21,"07:00:00 AM","11/22/19"
"19_11_22_03","OG",14,"08:00:00 AM","11/22/19"
"19_11_22_04","OG",9,"09:00:00 AM","11/22/19"
"19_11_22_05","OG",5,"10:00:00 AM","11/22/19"
"19_11_22_06","OG",6,"11:00:00 AM","11/22/19"
"19_11_23_01","Riparian",14,"06:00:00 AM","11/23/19"
"19_11_23_02","Riparian",17,"07:00:00 AM","11/23/19"
"19_11_23_03","Riparian",13,"08:00:00 AM","11/23/19"
"19_11_23_04","Riparian",8,"09:00:00 AM","11/23/19"
"19_11_23_05","Riparian",9,"10:00:00 AM","11/23/19"
"19_11_23_06","Riparian",11,"11:00:00 AM","11/23/19"
"19_11_26_01","OP",12,"06:00:00 AM","11/26/19"
"19_11_26_02","OP",11,"07:00:00 AM","11/26/19"
"19_11_26_03","OP",11,"08:01:00 AM","11/26/19"
"19_11_26_04","OP",10,"09:00:00 AM","11/26/19"
"19_11_26_05","OP",7,"10:00:00 AM","11/26/19"
"19_11_26_06","OP",6,"11:00:00 AM","11/26/19"
"19_11_27_01","OG",26,"06:00:00 AM","11/27/19"
"19_11_27_02","OG",26,"07:00:00 AM","11/27/19"
"19_11_27_03","OG",18,"08:00:00 AM","11/27/19"
"19_11_27_04","OG",13,"09:00:00 AM","11/27/19"
"19_11_27_05","OG",12,"10:00:00 AM","11/27/19"
"19_11_27_06","OG",11,"11:00:00 AM","11/27/19"
"19_11_28_01","OP",11,"06:09:00 AM","11/28/19"
"19_11_28_02","OP",11,"07:00:00 AM","11/28/19"
"19_11_28_03","OP",12,"08:00:00 AM","11/28/19"
"19_11_28_04","OP",8,"09:00:00 AM","11/28/19"
"19_11_28_05","OP",10,"10:00:00 AM","11/28/19"
"19_11_28_06","OP",8,"11:00:00 AM","11/28/19"
"19_12_02_01","OP",5,"06:00:00 PM","12/2/19"
"19_12_02_03","OP",1,"08:00:00 PM","12/2/19"
"19_12_04_05","Riparian",1,"10:00:00 PM","12/4/19"
"19_12_05_04","OG",1,"09:00:00 PM","12/5/19"
"19_12_05_05","OG",1,"10:00:00 PM","12/5/19"
"19_12_05_06","OG",2,"11:00:00 PM","12/5/19"
"19_12_09_01","OG",3,"06:00:00 PM","12/9/19"
"19_12_10_04","LF",1,"09:00:00 PM","12/10/19"
"19_12_10_05","LF",1,"10:00:00 PM","12/10/19"
"19_12_10_06","LF",1,"11:00:00 PM","12/10/19"
"19_12_11_01","Riparian",1,"06:15:00 PM","12/11/19"
"19_12_11_02","Riparian",1,"07:00:00 PM","12/11/19"
"19_12_11_03","Riparian",1,"08:00:00 PM","12/11/19"
"19_12_11_04","Riparian",1,"09:00:00 PM","12/11/19"
"19_12_12_02","OP",1,"07:00:00 PM","12/12/19"
"19_12_12_03","OP",1,"08:00:00 PM","12/12/19"
"19_12_19_01","OG",4,"06:00:00 PM","12/19/19"
"19_12_19_04","OG",2,"09:00:00 PM","12/19/19"
"19_12_19_06","OG",1,"11:00:00 PM","12/19/19"
"19_12_23_01","LF",9,"06:00:00 AM","12/23/19"
"19_12_23_02","LF",9,"07:00:00 AM","12/23/19"
"19_12_23_03","LF",13,"08:00:00 AM","12/23/19"
"19_12_23_04","LF",8,"09:00:00 AM","12/23/19"
"19_12_23_05","LF",5,"10:00:00 AM","12/23/19"
"19_12_23_06","LF",6,"11:00:00 AM","12/23/19"
"20_01_23_1","LF",15,"06:00:00 PM","1/23/20"
"20_01_23_3","LF",1,"08:00:00 PM","1/23/20"
"20_01_23_5","LF",1,"10:00:00 PM","1/23/20"
"20_01_24_1","LF",14,"06:00:00 PM","1/24/20"
"20_02_03_1","LF",10,"06:08:00 AM","2/3/20"
"20_02_03_2","LF",15,"07:00:00 AM","2/3/20"
"20_02_03_3","LF",10,"08:00:00 AM","2/3/20"
"20_02_03_4","LF",18,"09:00:00 AM","2/3/20"
"20_02_03_5","LF",6,"10:00:00 AM","2/3/20"
"20_02_03_6","LF",9,"11:00:00 AM","2/3/20"
