"field_name","Point_count_ID","Site","Species_common_name","Est_distance","PC_time","Time_of_day","Audio_visual","Notes"
1922,"18_04_26_4","D Matrix","Bold-striped Tit-babbler",12,"0:01:20","6:01:20 AM","A",NA
1923,"18_04_26_4","D Matrix","Emerald dove",21,"0:01:20","6:01:20 AM","A",NA
1924,"18_04_26_4","D Matrix","Yellow-bellied Prinia",16,"0:02:16","6:02:16 AM","A",NA
1925,"18_04_26_4","D Matrix","Swift",NA,"0:03:00","6:03:00 AM","A",NA
1926,"18_04_26_4","D Matrix","Swift",NA,"0:03:00","6:03:00 AM","A",NA
1927,"18_04_26_4","D Matrix","Yellow-bellied Prinia",15,"0:03:13","6:03:13 AM","A",NA
1928,"18_04_26_4","D Matrix","Sooty-capped Babbler",40,"0:04:30","6:04:30 AM","A","Babbler up and down the scale: JA238"
1929,"18_04_26_4","D Matrix","Orange-bellied Flowerpecker",15,"0:05:00","6:05:00 AM","AV",NA
1930,"18_04_26_4","D Matrix","Bold-striped Tit-babbler",12,"0:05:40","6:05:40 AM","A",NA
1931,"18_04_26_4","D Matrix","Bold-striped Tit-babbler",10,"0:05:40","6:05:40 AM","A",NA
1932,"18_04_26_4","D Matrix","Chestnut-winged Babbler",30,"0:07:00","6:07:00 AM","A",NA
1933,"18_04_26_4","D Matrix","Rufous-tailed Tailorbird",15,"0:08:00","6:08:00 AM","A",NA
1934,"18_04_26_4","D Matrix","Malaysian Pied Fantail",20,"0:08:40","6:08:40 AM","AV",NA
1935,"18_04_26_4","D Matrix","Malaysian Pied Fantail",20,"0:08:40","6:08:40 AM","AV",NA
1936,"18_04_26_4","D Matrix","Pycnonotidae",12,"0:10:10","6:10:10 AM","V",NA
1937,"18_04_26_4","D Matrix","Plaintive Cuckoo",20,"0:10:50","6:10:50 AM","A",NA
1938,"18_04_26_4","D Matrix","Fluffy-backed Tit-babbler",20,"0:11:20","6:11:20 AM","A",NA
1939,"18_04_26_4","D Matrix","Bornean Gibbon",100,"0:12:00","6:12:00 AM","A",NA
1940,"18_04_26_4","D Matrix","Lesser Coucal",28,"0:12:40","6:12:40 AM","A",NA
1941,"18_04_26_4","D Matrix",NA,15,"0:13:49","6:13:49 AM","A",NA
1942,"18_04_26_4","D Matrix","Yellow-vented Bulbul",10,"0:16:14","6:16:14 AM","A",NA
1943,"18_04_26_4","D Matrix","Yellow-vented Bulbul",10,"0:16:14","6:16:14 AM","A",NA
1944,"18_04_26_4","D Matrix","Orange-bellied Flowerpecker",12,"0:19:30","6:19:30 AM","A",NA
1945,"18_04_26_5","D Matrix","Great Argus",80,"0:00:30","7:00:30 AM","A",NA
1946,"18_04_26_5","D Matrix","Malaysian Pied Fantail",15,"0:01:00","7:01:00 AM","A",NA
1947,"18_04_26_5","D Matrix","Bold-striped Tit-babbler",13,"0:01:30","7:01:30 AM","A",NA
1948,"18_04_26_5","D Matrix","Bold-striped Tit-babbler",13,"0:01:30","7:01:30 AM","A",NA
1949,"18_04_26_5","D Matrix","Bold-striped Tit-babbler",12,"0:01:30","7:01:30 AM","A",NA
1950,"18_04_26_5","D Matrix","Emerald dove",20,"0:02:00","7:02:00 AM","A",NA
1951,"18_04_26_5","D Matrix","Chestnut-winged Babbler",25,"0:02:20","7:02:20 AM","A",NA
1952,"18_04_26_5","D Matrix","Fluffy-backed Tit-babbler",25,"0:02:30","7:02:30 AM","A",NA
1953,"18_04_26_5","D Matrix","Black-capped Babbler",20,"0:03:20","7:03:20 AM","A",NA
1954,"18_04_26_5","D Matrix","Orange-bellied Flowerpecker",15,"0:03:50","7:03:50 AM","A",NA
1955,"18_04_26_5","D Matrix","Lesser Coucal",30,"0:04:10","7:04:10 AM","A",NA
1956,"18_04_26_5","D Matrix","Lesser Coucal",30,"0:04:50","7:04:50 AM","A",NA
1957,"18_04_26_5","D Matrix","King Quail",20,"0:05:00","7:05:00 AM","A",NA
1958,"18_04_26_5","D Matrix","Pycnonotidae",15,"0:05:30","7:05:30 AM","A",NA
1959,"18_04_26_5","D Matrix","Cream-vented Bulbul",6,"0:06:45","7:06:45 AM","AV",NA
1960,"18_04_26_5","D Matrix","Yellow-bellied Prinia",12,"0:06:45","7:06:45 AM","A",NA
1961,"18_04_26_5","D Matrix",NA,17,"0:07:50","7:07:50 AM","A",NA
1962,"18_04_26_5","D Matrix","Bornean Gibbon",100,"0:09:30","7:09:30 AM","A",NA
1963,"18_04_26_5","D Matrix","Fluffy-backed Tit-babbler",14,"0:10:00","7:10:00 AM","A",NA
1964,"18_04_26_5","D Matrix","Rufous-tailed Tailorbird",30,"0:10:30","7:10:30 AM","A",NA
1965,"18_04_26_5","D Matrix",NA,15,"0:11:30","7:11:30 AM","A",NA
1966,"18_04_26_5","D Matrix","Yellow-vented Bulbul",7,"0:14:30","7:14:30 AM","AV",NA
1967,"18_04_26_5","D Matrix","Yellow-vented Bulbul",7,"0:14:30","7:14:30 AM","AV",NA
1968,"18_04_26_5","D Matrix","Yellow-vented Bulbul",7,"0:14:30","7:14:30 AM","AV",NA
1969,"18_04_26_5","D Matrix","Yellow-vented Bulbul",7,"0:14:30","7:14:30 AM","AV",NA
1970,"18_04_26_5","D Matrix","Yellow-vented Bulbul",7,"0:14:30","7:14:30 AM","AV",NA
1971,"18_04_26_5","D Matrix","Dark-necked Tailorbird",12,"0:16:34","7:16:34 AM","A",NA
1972,"18_04_26_5","D Matrix",NA,20,"0:18:13","7:18:13 AM","A",NA
1973,"18_04_26_5","D Matrix","Greater Coucal",25,"0:19:00","7:19:00 AM","A",NA
1974,"18_04_26_5","D Matrix","Banded Bay Cuckoo",30,"0:19:20","7:19:20 AM","A",NA
1975,"18_04_26_6","D Matrix","Yellow-bellied Prinia",10,"0:00:10","8:00:10 AM","A",NA
1976,"18_04_26_6","D Matrix","Bold-striped Tit-babbler",12,"0:00:20","8:00:20 AM","A",NA
1977,"18_04_26_6","D Matrix","Bold-striped Tit-babbler",12,"0:00:20","8:00:20 AM","A",NA
1978,"18_04_26_6","D Matrix","Bold-striped Tit-babbler",12,"0:00:20","8:00:20 AM","A",NA
1979,"18_04_26_6","D Matrix","Banded Bay Cuckoo",17,"0:00:30","8:00:30 AM","A",NA
1980,"18_04_26_6","D Matrix","Chestnut-winged Babbler",20,"0:00:35","8:00:35 AM","A",NA
1981,"18_04_26_6","D Matrix","Greater Coucal",20,"0:00:42","8:00:42 AM","A",NA
1982,"18_04_26_6","D Matrix","Ashy Tailorbird",11,"0:03:20","8:03:20 AM","AV",NA
1983,"18_04_26_6","D Matrix","Ashy Tailorbird",11,"0:03:20","8:03:20 AM","AV",NA
1984,"18_04_26_6","D Matrix","Yellow-vented Bulbul",15,"0:04:00","8:04:00 AM","A",NA
1985,"18_04_26_6","D Matrix","Sooty-capped Babbler",30,"0:04:50","8:04:50 AM","A",NA
1986,"18_04_26_6","D Matrix","White-crowned Shama",35,"0:05:15","8:05:15 AM","A",NA
1987,"18_04_26_6","D Matrix","Chestnut Munia",5,"0:07:40","8:07:40 AM","A",NA
1988,"18_04_26_6","D Matrix","Lesser Coucal",25,"0:08:40","8:08:40 AM","A",NA
1989,"18_04_26_6","D Matrix","Lesser Coucal",25,"0:08:40","8:08:40 AM","A",NA
1990,"18_04_26_6","D Matrix","Great Argus",200,"0:09:00","8:09:00 AM","A",NA
1991,"18_04_26_6","D Matrix","Blue-eared Barbet",11,"0:09:40","8:09:40 AM","A",NA
1992,"18_04_26_6","D Matrix","Blue-eared Barbet",11,"0:09:40","8:09:40 AM","A",NA
1993,"18_04_26_6","D Matrix","Black-headed Bulbul",7,"0:10:50","8:10:50 AM","V",NA
1994,"18_04_26_6","D Matrix","Yellow-vented Bulbul",6,"0:14:40","8:14:40 AM","V",NA
1995,"18_04_26_6","D Matrix","Yellow-vented Bulbul",6,"0:14:40","8:14:40 AM","V",NA
1996,"18_04_26_6","D Matrix","Grey-and-buff Woodpecker",12,"0:17:00","8:17:00 AM","V",NA
1997,"18_04_26_6","D Matrix","Grey-and-buff Woodpecker",12,"0:17:00","8:17:00 AM","V",NA
1998,"18_04_26_6","D Matrix","Yellow-bellied Prinia",17,"0:18:00","8:18:00 AM","A",NA
1999,"18_04_26_6","D Matrix","Bold-striped Tit-babbler",11,"0:18:10","8:18:10 AM","A",NA
2000,"18_04_26_6","D Matrix","Bold-striped Tit-babbler",12,"0:18:10","8:18:10 AM","A",NA
2001,"18_04_26_6","D Matrix","Babbler",25,"0:18:33","8:18:33 AM","A","HuHuuuuu"
2002,"18_04_27_1","E1 648",NA,NA,NA,NA,NA,NA
2003,"18_04_27_2","E1 648","Great Argus",100,"0:03:53","5:03:53 AM","A",NA
2004,"18_04_27_3","E1 648","Black-capped Babbler",12,"0:00:10","6:00:10 AM","A",NA
2005,"18_04_27_3","E1 648","Fluffy-backed Tit-babbler",15,"0:00:10","6:00:10 AM","A",NA
2006,"18_04_27_3","E1 648","Fluffy-backed Tit-babbler",15,"0:00:10","6:00:10 AM","A",NA
2007,"18_04_27_3","E1 648","Short-tailed Babbler",7,"0:00:10","6:00:10 AM","A",NA
2008,"18_04_27_3","E1 648","Sooty-capped Babbler",15,"0:00:10","6:00:10 AM","A",NA
2009,"18_04_27_3","E1 648","Chestnut-winged Babbler",25,"0:00:20","6:00:20 AM","A",NA
2010,"18_04_27_3","E1 648","Yellow-rumped Flowerpecker",15,"0:00:29","6:00:29 AM","A","nice spectogram fragment at 0:2:53"
2011,"18_04_27_3","E1 648","Asian Fairy Bluebird",15,"0:00:34","6:00:34 AM","A","Whitwhet"
2012,"18_04_27_3","E1 648","Fluffy-backed Tit-babbler",25,"0:00:53","6:00:53 AM","A",NA
2013,"18_04_27_3","E1 648","Little Spiderhunter",14,"0:01:16","6:01:16 AM","A",NA
2014,"18_04_27_3","E1 648",NA,NA,"0:03:50","6:03:50 AM","A","single chit’s 4-9khz"
2015,"18_04_27_3","E1 648","Black-naped Monarch",14,"0:04:20","6:04:20 AM","A","Switswitswitwit: JA242"
2016,"18_04_27_3","E1 648",NA,2,"0:04:43","6:04:43 AM","A","Small woodpecker that flew past"
2017,"18_04_27_3","E1 648","Sooty-capped Babbler",2,"0:04:55","6:04:55 AM","V","couple of sooty-capped babblers, making tjeuwtjeuwtjeuw sound: good fragment at 0:05:29"
2018,"18_04_27_3","E1 648","Sooty-capped Babbler",4,"0:06:00","6:06:00 AM","A","Wi-ti-woo wi-ti-woo sound"
2019,"18_04_27_3","E1 648",NA,20,"0:09:20","6:09:20 AM","A","HI HI = WP?"
2020,"18_04_27_3","E1 648",NA,15,"0:12:53","6:12:53 AM","A","Wheet-whee-whee, first note c. 5khz, second c. 4khz, third c. 3.5khz"
2021,"18_04_27_3","E1 648",NA,17,"0:13:04","6:13:04 AM","A","whit whit: first note c.4khz, second note c. 3.3khz"
2022,"18_04_27_3","E1 648","Bold-striped Tit-babbler",30,"0:13:07","6:13:07 AM","A","uchup uchup"
2023,"18_04_27_3","E1 648","Spectacled Bulbul",10,"0:14:30","6:14:30 AM","A","piequickclip bulbul"
2024,"18_04_27_3","E1 648","Orange-bellied Flowerpecker",6,"0:15:35","6:15:35 AM","A","looks different than the yellow-rumped on the spectogram"
2025,"18_04_27_3","E1 648",NA,5,"0:16:45","6:16:45 AM","A","shrekshrekshrekshrek, relatively fast-paced: similar to Malaysian Pied Fantail but not 100% same as the 1ref sound I have from it: asian fairy bluebird? Shreking sounds reff sound Mike Catsis"
2026,"18_04_27_3","E1 648","Lesser Green Leafbird",7,"0:17:00","6:17:00 AM","V","female"
2027,"18_04_27_3","E1 648","Fluffy-backed Tit-babbler",15,"0:17:55","6:17:55 AM","A",NA
2028,"18_04_27_3","E1 648","Little Spiderhunter? Or Sunbird?",6,"0:18:27","6:18:27 AM","A",NA
2029,"18_04_27_3","E1 648","Bornean Gibbon",200,"0:19:00","6:19:00 AM","A",NA
2030,"18_04_27_4","E1 648","Fluffy-backed Tit-babbler",15,"0:00:11","7:00:11 AM","A",NA
2031,"18_04_27_4","E1 648","Fluffy-backed Tit-babbler",15,"0:00:11","7:00:11 AM","A",NA
2032,"18_04_27_4","E1 648","Short-tailed Babbler",18,"0:00:13","7:00:13 AM","A",NA
2033,"18_04_27_4","E1 648","Sooty-capped Babbler",12,"0:00:16","7:00:16 AM","A","JA243"
2034,"18_04_27_4","E1 648","Sooty-capped Babbler",13,"0:00:17","7:00:17 AM","A","tjeuwtjeuwtjeuw"
2035,"18_04_27_4","E1 648","Greater Coucal",20,"0:00:21","7:00:21 AM","A","0.5khz, boop boop boop, 1note/s"
2036,"18_04_27_4","E1 648","Chestnut-winged Babbler",20,"0:00:36","7:00:36 AM","A",NA
2037,"18_04_27_4","E1 648","Great Argus",80,"0:01:30","7:01:30 AM","A",NA
2038,"18_04_27_4","E1 648","Short-tailed Babbler",15,"0:01:37","7:01:37 AM","A",NA
2039,"18_04_27_4","E1 648","Chestnut-backed Scimitar Babbler",25,"0:02:00","7:02:00 AM","A","whorwhup"
2040,"18_04_27_4","E1 648","Golden-whiskered Barbet",150,"0:02:21","7:02:21 AM","A",NA
2041,"18_04_27_4","E1 648","rufous-crowned/sooty-capped Babbler",7,"0:04:49","7:04:49 AM","A","Wi-too-wi-too-wi-too, each other note ascending and descending"
2042,"18_04_27_4","E1 648","Bold-striped Tit-babbler",12,"0:05:25","7:05:25 AM","A",NA
2043,"18_04_27_4","E1 648","Bold-striped Tit-babbler",10,"0:05:35","7:05:35 AM","A",NA
2044,"18_04_27_4","E1 648","Prionochilus",16,"0:06:23","7:06:23 AM","A","tsitsitsitsi"
2045,"18_04_27_4","E1 648",NA,15,"0:06:43","7:06:43 AM","A",NA
2046,"18_04_27_4","E1 648",NA,15,"0:09:42","7:09:42 AM","A","Rufous-crowned/Sooty-capped Babbler song variation?? wit-ti-woo sound"
2047,"18_04_27_4","E1 648",NA,NA,"0:11:50","7:11:50 AM","A","Short two-note sound, first note 4khz, second 2.8-3.8khz"
2048,"18_04_27_4","E1 648",NA,NA,"0:12:37","7:12:37 AM","A","sounds like FC, but only three notes. First 5khz, second 4 khz, third 2.9khz"
2049,"18_04_27_4","E1 648","Raffles's Malkoha",9,"0:13:55","7:13:55 AM","A",NA
2050,"18_04_27_4","E1 648","Raffles's Malkoha",9,"0:13:55","7:13:55 AM","A",NA
2051,"18_04_27_4","E1 648","Bold-striped Tit-babbler",25,"0:18:00","7:18:00 AM","A","uchup uchup"
2052,"18_04_27_4","E1 648","Sunbird",15,"0:18:30","7:18:30 AM","A","chichichichichichi"
2053,"18_04_27_4","E1 648","Yellow-rumped Flowerpecker",4,"0:19:36","7:19:36 AM","V",NA
2054,"18_04_27_4","E1 648","Yellow-rumped Flowerpecker",4,"0:19:36","7:19:36 AM","V",NA
2055,"18_04_27_5","E1 648","Sooty-capped Babbler",10,"0:00:10","8:00:10 AM","A",NA
2056,"18_04_27_5","E1 648","Fluffy-backed Tit-babbler",20,"0:00:30","8:00:30 AM","A",NA
2057,"18_04_27_5","E1 648","Chestnut-winged Babbler",25,"0:00:41","8:00:41 AM","A",NA
2058,"18_04_27_5","E1 648","Bold-striped Tit-babbler",20,"0:01:05","8:01:05 AM","A",NA
2059,"18_04_27_5","E1 648","Bold-striped Tit-babbler",20,"0:01:06","8:01:06 AM","A",NA
2060,"18_04_27_5","E1 648","Sooty-capped Babbler",10,"0:02:40","8:02:40 AM","A","tjeuwtjeuwtjeuw: JA247"
2061,"18_04_27_5","E1 648","Black-capped Babbler",30,"0:02:50","8:02:50 AM","A",NA
2062,"18_04_27_5","E1 648","Raffles's Malkoha",15,"0:03:05","8:03:05 AM","A",NA
2063,"18_04_27_5","E1 648","Raffles's Malkoha",15,"0:03:06","8:03:06 AM","A",NA
2064,"18_04_27_5","E1 648","Dark-necked Tailorbird",20,"0:03:15","8:03:15 AM","A",NA
2065,"18_04_27_5","E1 648","Black-headed Bulbul",15,"0:03:36","8:03:36 AM","A",NA
2066,"18_04_27_5","E1 648",NA,12,"0:04:05","8:04:05 AM","A","chichichichichichi"
2067,"18_04_27_5","E1 648","Dark-necked Tailorbird",17,"0:04:16","8:04:16 AM","AV",NA
2068,"18_04_27_5","E1 648",NA,NA,"0:05:30","8:05:30 AM","A","Also dark-necked tailorbird?"
2069,"18_04_27_5","E1 648",NA,13,NA,NA,"A","multiple species"
2070,"18_04_27_5","E1 648","Yellow-rumped Flowerpecker",11,NA,NA,"V",NA
2071,"18_04_28_1","B10",NA,NA,NA,NA,NA,NA
2072,"18_04_28_2","B10",NA,NA,NA,NA,NA,NA
2073,"18_04_28_3","B10",NA,NA,NA,NA,NA,NA
2074,"18_04_28_4","B10","Chestnut-backed Scimitar Babbler",27,"0:00:10","6:00:10 AM","A",NA
2075,"18_04_28_4","B10",NA,12,"0:00:20","6:00:20 AM","A","Tjeuwtjeuwtjeuw"
2076,"18_04_28_4","B10","Black-capped Babbler",6,"0:00:30","6:00:30 AM","A",NA
2077,"18_04_28_4","B10",NA,12,"0:00:40","6:00:40 AM","V","Pair of babblers with withish belly, rufous/brown upper parts: JA249"
2078,"18_04_28_4","B10",NA,12,"0:00:40","6:00:40 AM","V",NA
2079,"18_04_28_4","B10","Chestnut-winged Babbler",20,"0:00:50","6:00:50 AM","A",NA
2080,"18_04_28_4","B10","Bornean Gibbon",100,"0:01:00","6:01:00 AM","A",NA
2081,"18_04_28_4","B10","Prionochilus",23,"0:01:10","6:01:10 AM","A",NA
2082,"18_04_28_4","B10",NA,20,"0:05:36","6:05:36 AM","A","Whitwhitwhitwhitwhit: JA252"
2083,"18_04_28_4","B10","Babbler",10,"0:06:00","6:06:00 AM","A","JA250"
2084,"18_04_28_4","B10","Green Iora",17,"0:06:00","6:06:00 AM","A",NA
2085,"18_04_28_4","B10","Bold-striped Tit-babbler",35,"0:11:17","6:11:17 AM","A",NA
2086,"18_04_28_4","B10",NA,17,"0:15:00","6:15:00 AM","A","Chichew: JA251"
2087,"18_04_28_4","B10",NA,16,"0:15:00","6:15:00 AM","A",NA
2088,"18_04_28_4","B10","Lesser Coucal",40,"0:17:00","6:17:00 AM","A",NA
2089,"18_04_28_4","B10","Shrew/squirrel",9,"0:17:00","6:17:00 AM","V",NA
2090,"18_04_28_4","B10","Cream-vented Bulbul",12,"0:18:50","6:18:50 AM","A",NA
2091,"18_04_28_4","B10","Pycnonotidae",16,"0:19:30","6:19:30 AM","A",NA
2092,"18_04_28_4","B10",NA,15,NA,NA,"A","WP or Crested serpent eagles? Kheeee: JA248"
2093,"18_04_28_4","B10","Black-and-yellow Broadbill",20,NA,NA,"A",NA
2094,"18_04_28_4","B10","Chestnut-winged Babbler",15,NA,NA,"A",NA
2095,"18_04_28_5","B10",NA,13,"0:00:06","7:00:06 AM","A","single whit, sometimes whitchew"
2096,"18_04_28_5","B10","Prionochilus",17,"0:00:10","7:00:10 AM","A",NA
2097,"18_04_28_5","B10","Bold-striped Tit-babbler",30,"0:00:40","7:00:40 AM","A",NA
2098,"18_04_28_5","B10","Chestnut-backed Scimitar Babbler",40,"0:00:40","7:00:40 AM","A",NA
2099,"18_04_28_5","B10","Great Argus",60,"0:01:30","7:01:30 AM","A",NA
2100,"18_04_28_5","B10","Chestnut-winged Babbler",18,"0:01:40","7:01:40 AM","A",NA
2101,"18_04_28_5","B10","Green Iora",9,"0:02:20","7:02:20 AM","A",NA
2102,"18_04_28_5","B10",NA,NA,"0:02:30","7:02:30 AM","A",NA
2103,"18_04_28_5","B10",NA,20,"0:04:30","7:04:30 AM","A","whitwhitwhitwhit: JA254"
2104,"18_04_28_5","B10","Spectacled Bulbul",11,"0:09:40","7:09:40 AM","V",NA
2105,"18_04_28_5","B10","Ashy Tailorbird",25,"0:10:40","7:10:40 AM","A",NA
2106,"18_04_28_5","B10","Plaintive Cuckoo",40,"0:10:50","7:10:50 AM","A",NA
2107,"18_04_28_5","B10","Black-winged flycatcher-shrike",7,"0:12:00","7:12:00 AM","A",NA
2108,"18_04_28_5","B10","Cream-vented Bulbul",16,"0:13:00","7:13:00 AM","A",NA
2109,"18_04_28_5","B10","Moustached Babbler",35,"0:14:00","7:14:00 AM","A",NA
2110,"18_04_28_5","B10","Babbler",3,"0:15:00","7:15:00 AM","A",NA
2111,"18_04_28_5","B10","Babbler",3,"0:15:00","7:15:00 AM","A",NA
2112,"18_04_28_5","B10","Brown Fulvetta",20,"0:17:00","7:17:00 AM","A",NA
2113,"18_04_28_5","B10",NA,12,"0:18:00","7:18:00 AM","A","JA255"
2114,"18_04_28_6","B10","Short-tailed Babbler",4,"0:00:10","8:00:10 AM","V",NA
2115,"18_04_28_6","B10","Short-tailed Babbler",4,"0:00:20","8:00:20 AM","V",NA
2116,"18_04_28_6","B10","Chestnut-winged Babbler",24,"0:00:40","8:00:40 AM","A",NA
2117,"18_04_28_6","B10","Spectacled Bulbul",16,"0:01:00","8:01:00 AM","A","Piequickclip"
2118,"18_04_28_6","B10","Bornean Gibbon",100,"0:01:10","8:01:10 AM","A",NA
2119,"18_04_28_6","B10","Fluffy-backed Tit-babbler",25,"0:01:30","8:01:30 AM","A",NA
2120,"18_04_28_6","B10","Dark-necked Tailorbird",15,"0:01:40","8:01:40 AM","A",NA
2121,"18_04_28_6","B10",NA,17,"0:02:40","8:02:40 AM","A","Chewwhit"
2122,"18_04_28_6","B10","Yellow-bellied Bulbul",16,"0:03:30","8:03:30 AM","V",NA
2123,"18_04_28_6","B10","Greater Coucal",40,"0:04:00","8:04:00 AM","A",NA
2124,"18_04_28_6","B10",NA,11,"0:05:31","8:05:31 AM","A",NA
2125,"18_04_28_6","B10","Pycnonotus",10,"0:06:00","8:06:00 AM","A","pritprit"
2126,"18_04_28_6","B10","Bornean Gibbon",200,"0:06:50","8:06:50 AM","A",NA
2127,"18_04_28_6","B10","Asian Fairy Bluebird",15,"0:08:53","8:08:53 AM","A",NA
2128,"18_04_28_6","B10","Chestnut-winged Babbler",9,"0:18:30","8:18:30 AM","A",NA
3139,"18_06_12_1","Riparian 2","Asian Paradise Flycatcher",15,"0:00:18","10:00:18 AM","A",NA
3140,"18_06_12_1","Riparian 2",NA,40,"0:02:00","10:02:00 AM","A",NA
3141,"18_06_12_1","Riparian 2","Little Spiderhunter",6,"0:02:54","10:02:54 AM","A",NA
3142,"18_06_12_1","Riparian 2","Asian Fairy Bluebird",20,"0:04:43","10:04:43 AM","A",NA
3143,"18_06_12_1","Riparian 2","Olive-backed Woodpecker",40,"0:06:29","10:06:29 AM","A",NA
